idx,r,th,precision,recall,fscore,MAHD,MAPE,ME,MPE,MAE,MSE,RMSE,r,R2
0,0,-2.0,0.00862738331464067,0.0012663036596175764,0.0022084561787082744,57.7393339215282,76.3055049572748,-370.2142857142857,-76.3055049572748,370.2142857142857,261041.9835164835,510.9226786084989,0.20629022894116372,-1.0863824437539544
1,1,-2.0,0.4227417824173928,0.06204887932126124,0.10821435275670543,57.7393339215282,76.3055049572748,-370.2142857142857,-76.3055049572748,370.2142857142857,261041.9835164835,510.9226786084989,0.20629022894116372,-1.0863824437539544
2,2,-2.0,1.7513588128720559,0.257059642902368,0.44831660427777964,57.7393339215282,76.3055049572748,-370.2142857142857,-76.3055049572748,370.2142857142857,261041.9835164835,510.9226786084989,0.20629022894116372,-1.0863824437539544
3,3,-2.0,3.7356569752394098,0.5483372590735253,0.9563037644798303,57.7393339215282,76.3055049572748,-370.2142857142857,-76.3055049572748,370.2142857142857,261041.9835164835,510.9226786084989,0.20629022894116372,-1.0863824437539544
4,4,-2.0,6.505047019239065,0.9550106393758233,1.6655069966756129,57.7393339215282,76.3055049572748,-370.2142857142857,-76.3055049572748,370.2142857142857,261041.9835164835,510.9226786084989,0.20629022894116372,-1.0863824437539544
5,5,-2.0,10.387369510827366,1.5261563422950652,2.6613028005570167,57.7393339215282,76.3055049572748,-370.2142857142857,-76.3055049572748,370.2142857142857,261041.9835164835,510.9226786084989,0.20629022894116372,-1.0863824437539544
6,6,-2.0,14.442239668708481,2.1245002855511137,3.7041134689000508,57.7393339215282,76.3055049572748,-370.2142857142857,-76.3055049572748,370.2142857142857,261041.9835164835,510.9226786084989,0.20629022894116372,-1.0863824437539544
7,7,-2.0,18.42809076007247,2.7163822265177915,4.734829592684955,57.7393339215282,76.3055049572748,-370.2142857142857,-76.3055049572748,370.2142857142857,261041.9835164835,510.9226786084989,0.20629022894116372,-1.0863824437539544
8,8,-2.0,22.353550168233976,3.3069981748331183,5.761618857015788,57.7393339215282,76.3055049572748,-370.2142857142857,-76.3055049572748,370.2142857142857,261041.9835164835,510.9226786084989,0.20629022894116372,-1.0863824437539544
9,9,-2.0,26.710378742127514,3.970910769941129,6.913955202215324,57.7393339215282,76.3055049572748,-370.2142857142857,-76.3055049572748,370.2142857142857,261041.9835164835,510.9226786084989,0.20629022894116372,-1.0863824437539544
10,10,-2.0,30.90328703304288,4.6189555125725335,8.03670589291123,57.7393339215282,76.3055049572748,-370.2142857142857,-76.3055049572748,370.2142857142857,261041.9835164835,510.9226786084989,0.20629022894116372,-1.0863824437539544
11,11,-2.0,35.16521439047537,5.294056525353284,9.202668683607465,57.7393339215282,76.3055049572748,-370.2142857142857,-76.3055049572748,370.2142857142857,261041.9835164835,510.9226786084989,0.20629022894116372,-1.0863824437539544
12,12,-2.0,39.30635838150289,5.967568700390328,10.361963678542592,57.7393339215282,76.3055049572748,-370.2142857142857,-76.3055049572748,370.2142857142857,261041.9835164835,510.9226786084989,0.20629022894116372,-1.0863824437539544
13,13,-2.0,43.249072556293676,6.63674636587497,11.507604017216641,57.7393339215282,76.3055049572748,-370.2142857142857,-76.3055049572748,370.2142857142857,261041.9835164835,510.9226786084989,0.20629022894116372,-1.0863824437539544
14,14,-2.0,46.6051246656889,7.241675156844871,12.535533201062806,57.7393339215282,76.3055049572748,-370.2142857142857,-76.3055049572748,370.2142857142857,261041.9835164835,510.9226786084989,0.20629022894116372,-1.0863824437539544
15,15,-2.0,50.28901734104046,7.923820398841809,13.690490170749465,57.7393339215282,76.3055049572748,-370.2142857142857,-76.3055049572748,370.2142857142857,261041.9835164835,510.9226786084989,0.20629022894116372,-1.0863824437539544
