filename,count,locations
IMG_22.jpg,180,"[[538, 363], [129, 698], [198, 283], [233, 136], [319, 924], [202, 543], [184, 876], [605, 750], [138, 118], [95, 889], [127, 450], [291, 695], [68, 259], [650, 225], [434, 132], [343, 434], [386, 943], [430, 798], [293, 11], [87, 32], [689, 562], [47, 777], [312, 199], [129, 537], [187, 346], [381, 610], [167, 966], [551, 194], [19, 492], [76, 171], [275, 795], [304, 603], [284, 478], [29, 1001], [496, 977], [284, 372], [85, 328], [191, 22], [591, 558], [162, 171], [102, 664], [134, 813], [435, 225], [316, 115], [320, 287], [201, 217], [26, 838], [542, 279], [336, 811], [37, 192], [224, 405], [490, 831], [437, 382], [71, 1003], [59, 440], [69, 75], [248, 727], [173, 463], [221, 98], [337, 16], [141, 277], [46, 744], [41, 877], [71, 850], [163, 381], [126, 315], [247, 639], [39, 528], [330, 753], [33, 277], [73, 126], [85, 766], [345, 206], [478, 1006], [760, 763], [94, 467], [54, 17], [114, 778], [10, 572], [576, 737], [118, 630], [364, 342], [88, 969], [179, 61], [278, 339], [338, 456], [52, 304], [106, 241], [356, 610], [360, 238], [276, 514], [207, 167], [284, 151], [533, 251], [183, 132], [173, 703], [325, 513], [183, 753], [194, 507], [483, 340], [676, 234], [185, 415], [33, 152], [177, 252], [78, 365], [271, 405], [75, 213], [257, 473], [302, 820], [135, 494], [258, 598], [105, 99], [264, 75], [50, 915], [117, 739], [118, 360], [564, 370], [694, 541], [96, 286], [405, 794], [96, 703], [124, 959], [412, 224], [116, 190], [153, 208], [209, 374], [311, 414], [357, 49], [34, 690], [450, 143], [261, 760], [223, 695], [127, 404], [279, 562], [118, 19], [334, 358], [156, 91], [114, 999], [145, 668], [161, 534], [226, 19], [24, 451], [225, 251], [90, 418], [331, 842], [88, 810], [154, 425], [36, 231], [241, 797], [170, 307], [114, 148], [473, 969], [345, 291], [664, 548], [392, 533], [229, 520], [323, 48], [462, 346], [670, 210], [430, 1014], [222, 57], [123, 60], [246, 426], [337, 731], [151, 343], [106, 558], [57, 488], [154, 24], [114, 850], [568, 560], [176, 848], [50, 959], [91, 930], [96, 514], [236, 338], [256, 679], [273, 110], [360, 945], [515, 272], [369, 366]]"
IMG_73.jpg,88,"[[127, 862], [214, 373], [218, 34], [424, 945], [57, 625], [516, 158], [62, 270], [346, 570], [212, 671], [169, 487], [23, 834], [633, 920], [695, 22], [323, 299], [12, 976], [308, 859], [27, 178], [102, 61], [96, 391], [128, 586], [55, 345], [19, 506], [424, 828], [262, 753], [331, 947], [111, 262], [441, 593], [291, 464], [507, 306], [402, 490], [198, 535], [21, 735], [62, 211], [25, 924], [305, 717], [258, 213], [93, 512], [59, 752], [174, 574], [21, 267], [308, 17], [17, 556], [168, 50], [369, 358], [137, 329], [153, 387], [86, 867], [169, 796], [148, 225], [235, 263], [65, 965], [202, 347], [124, 799], [177, 687], [22, 653], [373, 499], [187, 436], [173, 149], [654, 934], [137, 455], [18, 214], [102, 558], [201, 710], [11, 360], [206, 481], [20, 879], [269, 423], [677, 38], [108, 210], [21, 785], [99, 436], [135, 513], [282, 60], [8, 446], [96, 314], [37, 23], [125, 69], [212, 580], [22, 604], [57, 805], [32, 693], [155, 286], [156, 617], [346, 342], [238, 332], [544, 160], [400, 819], [20, 313]]"
IMG_149.jpg,110,"[[361, 503], [418, 717], [652, 274], [366, 795], [489, 323], [595, 770], [727, 538], [339, 734], [420, 860], [445, 564], [691, 890], [339, 599], [416, 448], [667, 181], [330, 927], [749, 414], [753, 698], [415, 344], [464, 479], [364, 674], [421, 818], [571, 176], [337, 859], [755, 105], [494, 357], [434, 671], [461, 748], [656, 485], [430, 629], [429, 754], [424, 523], [273, 538], [660, 750], [432, 406], [373, 923], [300, 597], [372, 715], [298, 691], [545, 263], [289, 856], [310, 470], [380, 444], [429, 486], [380, 865], [399, 688], [655, 399], [400, 412], [323, 510], [589, 73], [460, 598], [320, 627], [495, 277], [396, 620], [457, 334], [451, 444], [318, 891], [407, 898], [390, 478], [703, 508], [327, 765], [350, 937], [669, 263], [559, 794], [364, 759], [333, 699], [749, 152], [753, 353], [547, 373], [472, 674], [459, 518], [513, 333], [303, 725], [356, 892], [297, 821], [677, 843], [449, 786], [452, 706], [403, 785], [395, 746], [739, 433], [397, 654], [359, 634], [391, 827], [444, 1019], [445, 368], [334, 379], [356, 830], [464, 410], [755, 680], [668, 886], [349, 475], [446, 887], [316, 567], [568, 749], [379, 592], [464, 640], [360, 535], [692, 181], [346, 437], [559, 225], [394, 516], [356, 567], [525, 294], [400, 556], [594, 401], [295, 648], [684, 909], [405, 377], [329, 663], [421, 590]]"
IMG_43.jpg,87,"[[540, 426], [54, 685], [230, 291], [125, 914], [487, 791], [123, 14], [269, 677], [171, 559], [706, 200], [725, 738], [178, 150], [336, 1010], [28, 815], [36, 908], [462, 366], [529, 587], [674, 442], [52, 108], [247, 177], [55, 548], [208, 551], [145, 198], [138, 321], [436, 651], [320, 779], [99, 729], [156, 489], [352, 367], [92, 1014], [577, 752], [142, 820], [187, 246], [195, 69], [420, 858], [163, 660], [28, 955], [294, 484], [256, 15], [19, 662], [194, 1012], [26, 723], [309, 239], [375, 498], [122, 93], [21, 74], [90, 212], [201, 494], [118, 638], [67, 636], [499, 522], [53, 851], [174, 328], [145, 240], [185, 200], [86, 961], [431, 4], [291, 266], [246, 1011], [91, 533], [212, 620], [182, 26], [206, 674], [78, 750], [681, 211], [23, 164], [138, 604], [25, 772], [91, 329], [455, 854], [58, 515], [74, 579], [18, 868], [360, 999], [467, 343], [169, 95], [93, 694], [126, 967], [418, 940], [158, 360], [104, 236], [311, 171], [643, 445], [29, 567], [24, 1002], [69, 428], [97, 833], [223, 236]]"
IMG_63.jpg,41,"[[377, 680], [275, 244], [115, 807], [95, 996], [231, 36], [114, 595], [472, 516], [745, 15], [367, 86], [468, 327], [266, 421], [190, 673], [509, 708], [687, 564], [45, 739], [735, 1016], [231, 123], [285, 842], [20, 944], [117, 888], [243, 756], [22, 666], [450, 278], [190, 335], [63, 806], [161, 580], [299, 132], [416, 26], [127, 651], [303, 692], [73, 944], [90, 722], [161, 864], [158, 410], [385, 636], [355, 26], [146, 925], [103, 842], [24, 805], [36, 994], [405, 254]]"
IMG_172.jpg,21,"[[419, 15], [278, 738], [382, 339], [435, 928], [103, 747], [444, 699], [132, 1014], [470, 140], [285, 656], [14, 932], [418, 42], [83, 709], [33, 342], [442, 126], [393, 360], [297, 731], [458, 928], [364, 357], [6, 5], [465, 694], [393, 22]]"
IMG_203.jpg,150,"[[245, 352], [194, 785], [220, 121], [179, 663], [189, 906], [349, 529], [353, 85], [530, 925], [277, 199], [255, 733], [363, 772], [214, 610], [162, 1001], [167, 450], [287, 54], [448, 495], [292, 267], [129, 893], [252, 893], [454, 585], [218, 495], [247, 224], [164, 741], [113, 550], [291, 571], [359, 148], [332, 18], [198, 559], [356, 427], [197, 344], [289, 681], [295, 123], [233, 20], [105, 956], [208, 682], [279, 332], [229, 150], [137, 816], [250, 822], [56, 897], [208, 940], [349, 50], [225, 574], [203, 870], [274, 619], [241, 671], [173, 555], [178, 194], [319, 212], [176, 421], [335, 793], [90, 651], [255, 55], [131, 442], [175, 813], [313, 89], [159, 842], [249, 316], [306, 180], [176, 938], [270, 370], [232, 790], [270, 292], [138, 1010], [274, 159], [247, 925], [66, 860], [267, 551], [136, 981], [391, 147], [285, 233], [151, 319], [206, 225], [428, 442], [167, 878], [132, 765], [148, 577], [187, 135], [154, 913], [366, 21], [401, 534], [183, 622], [189, 1005], [300, 19], [182, 705], [335, 546], [241, 91], [380, 58], [275, 907], [154, 688], [266, 18], [239, 708], [325, 283], [136, 398], [319, 150], [310, 706], [217, 745], [91, 880], [257, 125], [387, 768], [232, 289], [276, 90], [265, 655], [397, 85], [260, 781], [240, 186], [319, 53], [336, 118], [143, 950], [458, 605], [122, 504], [191, 842], [145, 546], [25, 645], [261, 693], [388, 440], [240, 635], [219, 366], [214, 816], [225, 61], [506, 924], [208, 646], [221, 901], [229, 530], [156, 785], [119, 925], [311, 365], [109, 866], [371, 801], [269, 586], [251, 258], [392, 18], [244, 601], [344, 175], [190, 7], [73, 762], [155, 622], [138, 861], [241, 412], [214, 326], [378, 113], [422, 490], [435, 595], [178, 323], [303, 307], [187, 585], [181, 972], [325, 249], [205, 449], [219, 1011]]"
IMG_210.jpg,53,"[[71, 814], [140, 401], [201, 89], [101, 584], [336, 1015], [64, 511], [88, 276], [121, 723], [180, 517], [138, 1011], [141, 88], [161, 325], [101, 232], [182, 829], [174, 571], [106, 349], [368, 946], [229, 988], [22, 880], [141, 17], [231, 411], [86, 379], [131, 438], [222, 635], [67, 461], [8, 328], [124, 531], [79, 792], [181, 615], [129, 141], [145, 295], [218, 372], [32, 466], [41, 186], [107, 755], [8, 993], [131, 831], [282, 501], [104, 409], [122, 273], [127, 374], [87, 545], [22, 849], [200, 555], [119, 995], [9, 495], [128, 571], [235, 98], [148, 515], [161, 547], [139, 336], [112, 308], [116, 698]]"
IMG_95.jpg,48,"[[41, 856], [419, 415], [241, 59], [10, 445], [586, 964], [549, 206], [246, 424], [179, 248], [670, 432], [128, 756], [235, 940], [65, 554], [426, 502], [76, 21], [48, 738], [536, 578], [17, 895], [381, 307], [194, 22], [60, 330], [55, 494], [322, 450], [350, 647], [195, 858], [99, 877], [250, 131], [76, 932], [23, 362], [108, 1010], [465, 501], [24, 617], [205, 307], [13, 122], [233, 223], [197, 84], [289, 465], [26, 795], [263, 20], [8, 729], [543, 410], [16, 570], [127, 793], [109, 547], [250, 273], [186, 194], [65, 805], [97, 494], [56, 462]]"
IMG_15.jpg,31,"[[29, 628], [17, 39], [549, 209], [116, 1000], [207, 312], [157, 658], [235, 161], [680, 114], [23, 288], [99, 538], [21, 704], [122, 86], [281, 389], [729, 263], [262, 214], [19, 499], [147, 989], [35, 791], [150, 745], [10, 204], [18, 940], [98, 601], [57, 26], [196, 578], [185, 8], [30, 998], [154, 220], [78, 666], [52, 74], [20, 121], [573, 211]]"
