filename,count,locations
seq_000406.jpg,40,"[[65, 189], [443, 606], [192, 413], [231, 250], [183, 553], [343, 111], [105, 359], [142, 136], [95, 206], [258, 335], [33, 122], [120, 279], [170, 196], [290, 6], [34, 215], [96, 170], [223, 507], [36, 251], [35, 181], [259, 293], [142, 569], [94, 131], [130, 375], [199, 185], [192, 439], [63, 119], [361, 113], [35, 150], [237, 355], [128, 190], [227, 531], [246, 254], [61, 224], [105, 267], [180, 167], [199, 453], [193, 516], [104, 291], [118, 142], [66, 154]]"
seq_001191.jpg,29,"[[89, 407], [161, 170], [383, 166], [243, 363], [31, 191], [289, 553], [312, 286], [68, 488], [386, 263], [375, 6], [45, 117], [47, 226], [251, 259], [373, 198], [131, 458], [62, 135], [97, 146], [254, 324], [131, 199], [96, 380], [96, 285], [54, 199], [54, 170], [391, 229], [33, 147], [399, 196], [59, 410], [131, 499], [137, 161]]"
seq_001133.jpg,23,"[[383, 188], [59, 203], [288, 293], [64, 481], [141, 171], [244, 340], [471, 384], [248, 247], [51, 235], [99, 288], [392, 233], [87, 183], [161, 63], [119, 167], [26, 125], [474, 317], [313, 285], [45, 177], [367, 175], [167, 161], [32, 207], [257, 384], [254, 263]]"
seq_000732.jpg,36,"[[64, 154], [157, 396], [326, 138], [194, 216], [241, 504], [383, 239], [70, 201], [106, 290], [286, 10], [106, 467], [243, 356], [139, 175], [248, 250], [389, 185], [101, 356], [136, 278], [299, 53], [31, 246], [108, 115], [105, 159], [174, 460], [153, 231], [236, 107], [45, 182], [377, 208], [169, 194], [105, 192], [271, 183], [29, 125], [129, 112], [256, 545], [157, 446], [121, 255], [366, 271], [80, 176], [37, 214]]"
seq_001755.jpg,30,"[[110, 263], [306, 91], [285, 303], [71, 132], [41, 232], [290, 48], [398, 430], [397, 198], [395, 68], [241, 356], [206, 56], [99, 362], [319, 43], [176, 499], [248, 254], [230, 79], [41, 169], [356, 57], [38, 128], [463, 445], [99, 289], [261, 328], [264, 84], [239, 53], [40, 202], [349, 111], [257, 284], [334, 11], [312, 132], [332, 302]]"
seq_001179.jpg,29,"[[53, 182], [348, 413], [354, 17], [411, 228], [214, 579], [314, 282], [357, 618], [432, 484], [111, 227], [244, 364], [401, 416], [224, 483], [358, 465], [371, 185], [41, 124], [418, 343], [250, 257], [103, 281], [391, 15], [47, 218], [342, 61], [421, 442], [256, 329], [369, 39], [29, 187], [383, 225], [120, 254], [387, 445], [300, 579]]"
seq_001534.jpg,35,"[[369, 134], [162, 204], [196, 519], [67, 173], [252, 78], [394, 524], [77, 416], [258, 334], [30, 216], [130, 535], [172, 117], [34, 122], [34, 183], [238, 263], [40, 243], [374, 572], [119, 520], [102, 346], [70, 459], [164, 175], [226, 42], [64, 120], [174, 529], [170, 244], [185, 87], [185, 202], [57, 412], [59, 215], [77, 145], [39, 151], [256, 259], [248, 51], [226, 67], [240, 354], [195, 116]]"
seq_001304.jpg,25,"[[199, 442], [92, 175], [347, 117], [51, 405], [249, 259], [205, 532], [87, 242], [472, 385], [245, 335], [35, 166], [100, 507], [111, 421], [97, 395], [47, 198], [101, 349], [205, 571], [160, 458], [96, 277], [103, 141], [92, 424], [199, 258], [55, 225], [33, 134], [63, 165], [72, 400]]"
seq_001858.jpg,33,"[[181, 481], [91, 131], [256, 286], [100, 282], [128, 442], [366, 114], [203, 588], [179, 213], [303, 335], [30, 137], [101, 424], [189, 132], [119, 509], [35, 205], [135, 106], [128, 403], [115, 223], [301, 297], [100, 354], [263, 350], [86, 496], [155, 461], [157, 509], [57, 127], [269, 318], [49, 169], [192, 230], [114, 378], [199, 552], [95, 161], [163, 116], [105, 483], [383, 120]]"
seq_000019.jpg,35,"[[156, 135], [143, 400], [277, 123], [38, 178], [248, 477], [58, 407], [312, 295], [141, 571], [205, 54], [64, 161], [195, 144], [90, 274], [43, 245], [253, 102], [302, 567], [67, 489], [274, 43], [67, 360], [106, 150], [232, 355], [179, 55], [55, 119], [54, 437], [241, 40], [316, 49], [218, 234], [193, 89], [88, 127], [170, 173], [35, 213], [76, 461], [283, 88], [227, 91], [283, 511], [131, 422]]"
seq_001267.jpg,34,"[[305, 32], [122, 239], [442, 549], [247, 260], [39, 158], [114, 439], [118, 164], [321, 340], [341, 492], [69, 126], [39, 194], [367, 192], [243, 17], [353, 332], [109, 505], [460, 605], [112, 210], [235, 351], [51, 221], [102, 348], [275, 17], [137, 134], [73, 171], [136, 198], [104, 280], [35, 124], [87, 242], [270, 66], [318, 492], [157, 288], [260, 329], [107, 127], [254, 39], [223, 21]]"
seq_001544.jpg,36,"[[257, 333], [34, 208], [395, 544], [139, 448], [302, 36], [57, 356], [39, 121], [374, 268], [121, 225], [353, 469], [88, 485], [102, 275], [366, 620], [30, 177], [60, 181], [238, 265], [76, 131], [190, 516], [118, 465], [91, 457], [41, 149], [320, 6], [240, 355], [99, 231], [372, 527], [166, 503], [121, 508], [362, 554], [254, 255], [63, 219], [101, 347], [272, 8], [182, 480], [380, 599], [39, 240], [389, 263]]"
