idx,r,th,precision,recall,fscore,MAHD,MAPE,ME,MPE,MAE,MSE,RMSE,r,R2
0,0,-2.0,0.029800337737161023,0.02888550108320629,0.02933578884751094,22.586743071556086,3.822858209474233,-0.9565,-2.4484581783460206,1.2565,2.9605,1.7206103568210904,0.9869271768039212,0.9385975566836406
1,1,-2.0,0.9519552332704215,0.9227312846024232,0.9371154770732661,22.586743071556086,3.822858209474233,-0.9565,-2.4484581783460206,1.2565,2.9605,1.7206103568210904,0.9869271768039212,0.9385975566836406
2,2,-2.0,3.786298466938181,3.670063387627377,3.7272749496809734,22.586743071556086,3.822858209474233,-0.9565,-2.4484581783460206,1.2565,2.9605,1.7206103568210904,0.9869271768039212,0.9385975566836406
3,3,-2.0,8.415284262110527,8.157337270509693,8.28430333947227,22.586743071556086,3.822858209474233,-0.9565,-2.4484581783460206,1.2565,2.9605,1.7206103568210904,0.9869271768039212,0.9385975566836406
4,4,-2.0,14.178338465613722,13.750802825947334,13.961298315971373,22.586743071556086,3.822858209474233,-0.9565,-2.4484581783460206,1.2565,2.9605,1.7206103568210904,0.9869271768039212,0.9385975566836406
5,5,-2.0,21.014204827654712,20.410690165305205,20.708051227669465,22.586743071556086,3.822858209474233,-0.9565,-2.4484581783460206,1.2565,2.9605,1.7206103568210904,0.9869271768039212,0.9385975566836406
6,6,-2.0,28.162974735935897,27.453480302761324,27.803702038981733,22.586743071556086,3.822858209474233,-0.9565,-2.4484581783460206,1.2565,2.9605,1.7206103568210904,0.9869271768039212,0.9385975566836406
7,7,-2.0,35.21406575941194,34.511292834890966,34.859137617385315,22.586743071556086,3.822858209474233,-0.9565,-2.4484581783460206,1.2565,2.9605,1.7206103568210904,0.9869271768039212,0.9385975566836406
8,8,-2.0,41.98867587165988,41.50017181287124,41.74299469201333,22.586743071556086,3.822858209474233,-0.9565,-2.4484581783460206,1.2565,2.9605,1.7206103568210904,0.9869271768039212,0.9385975566836406
9,9,-2.0,48.27489155988212,48.26370497881356,48.26929762121538,22.586743071556086,3.822858209474233,-0.9565,-2.4484581783460206,1.2565,2.9605,1.7206103568210904,0.9869271768039212,0.9385975566836406
10,10,-2.0,54.284626336876265,54.97175046523714,54.62602770535364,22.586743071556086,3.822858209474233,-0.9565,-2.4484581783460206,1.2565,2.9605,1.7206103568210904,0.9869271768039212,0.9385975566836406
11,11,-2.0,59.28611635376312,60.88789893390917,60.07633267625719,22.586743071556086,3.822858209474233,-0.9565,-2.4484581783460206,1.2565,2.9605,1.7206103568210904,0.9869271768039212,0.9385975566836406
12,12,-2.0,63.956491506903745,66.70407846116656,65.30139626086074,22.586743071556086,3.822858209474233,-0.9565,-2.4484581783460206,1.2565,2.9605,1.7206103568210904,0.9869271768039212,0.9385975566836406
13,13,-2.0,67.96629250687063,72.11263152347661,69.97809615532125,22.586743071556086,3.822858209474233,-0.9565,-2.4484581783460206,1.2565,2.9605,1.7206103568210904,0.9869271768039212,0.9385975566836406
14,14,-2.0,71.65987881195987,77.27905731119444,74.36346768374395,22.586743071556086,3.822858209474233,-0.9565,-2.4484581783460206,1.2565,2.9605,1.7206103568210904,0.9869271768039212,0.9385975566836406
15,15,-2.0,74.7425581934373,81.74772751964655,78.08835230221054,22.586743071556086,3.822858209474233,-0.9565,-2.4484581783460206,1.2565,2.9605,1.7206103568210904,0.9869271768039212,0.9385975566836406
